Workshop_1_Demo	Total	Male	Female
1970			
 0-4	2348.748200	1176.532375	1172.215825
 5-9	1347.410803	681.227131	666.183672
 10-14 	873.698810	440.685068	433.013742
 15-19 	1981.832015	1001.629240	980.202775
 20-24 	2026.347547	1022.051734	1004.295813
 25-29 	1780.147151	889.250628	890.896523
 30-34 	1508.879844	750.780667	758.099177
 35-39 	1303.077420	659.914499	643.162921
 40-44 	1096.602700	564.403420	532.199280
 45-49 	910.231644	453.231864	456.999780
 50-54 	778.314216	378.603493	399.710723
 55-59 	611.106990	291.632565	319.474425
 60-64 	479.561904	215.528020	264.033885
 65-69 	327.371807	139.083606	188.288201
 70-74 	219.917591	87.803963	132.113627
 75-79 	132.339807	48.691889	83.647918
 80+ 	99.733635	32.313813	67.419822
Total	17825.322084	8833.363975	8991.958109
1971			
 0-4	94334.825680	51721.545349	42613.280331
 5-9	7732.394007	4571.228309	3161.165698
 10-14 	5347.985307	3287.374666	2060.610641
 15-19 	7531.870983	4176.520532	3355.350451
 20-24 	9179.200799	5046.683406	4132.517393
 25-29 	9489.010752	4997.114476	4491.896277
 30-34 	9552.427068	5072.916770	4479.510298
 35-39 	10470.820891	5830.959158	4639.861733
 40-44 	11839.343248	7095.653589	4743.689659
 45-49 	13266.738798	7904.534368	5362.204430
 50-54 	16294.808284	9717.638907	6577.169376
 55-59 	17857.734006	10297.492207	7560.241799
 60-64 	20395.598037	11467.684721	8927.913316
 65-69 	20173.564882	10820.771468	9352.793414
 70-74 	18802.430235	9432.466864	9369.963371
 75-79 	15736.793891	7125.374624	8611.419267
 80+ 	20014.965439	7331.513622	12683.451816
Total	308020.512306	165897.473034	142123.039272
1972			
 0-4	94614.918237	52060.162793	42554.755445
 5-9	7733.077613	4587.307723	3145.769890
 10-14 	5330.377920	3292.068276	2038.309644
 15-19 	7575.046075	4224.946550	3350.099525
 20-24 	9321.633846	5164.497818	4157.136028
 25-29 	9493.034756	5047.737462	4445.297294
 30-34 	9615.108780	5142.563032	4472.545749
 35-39 	10478.138889	5843.083442	4635.055447
 40-44 	11931.880368	7155.852270	4776.028098
 45-49 	13392.002344	8045.839609	5346.162735
 50-54 	16265.663814	9725.616816	6540.046998
 55-59 	18095.572131	10458.045818	7637.526313
 60-64 	20412.068141	11559.819786	8852.248355
 65-69 	20546.274829	11025.134349	9521.140480
 70-74 	18664.676666	9334.882246	9329.794420
 75-79 	15651.234481	7066.471051	8584.763429
 80+ 	20023.389076	7305.139615	12718.249460
Total	309144.097964	167039.168655	142104.929309
1973			
 0-4	94825.001016	52340.627849	42484.373166
 5-9	7749.191028	4613.401814	3135.789214
 10-14 	5311.924400	3298.182075	2013.742325
 15-19 	7599.352692	4264.866300	3334.486392
 20-24 	9480.583609	5292.245094	4188.338515
 25-29 	9497.348305	5100.265940	4397.082365
 30-34 	9688.414985	5224.404587	4464.010398
 35-39 	10484.494669	5859.352778	4625.141891
 40-44 	12020.499776	7207.697911	4812.801865
 45-49 	13553.801637	8212.464998	5341.336639
 50-54 	16220.208419	9733.895709	6486.312710
 55-59 	18362.815965	10627.507782	7735.308183
 60-64 	20407.985098	11650.802229	8757.182868
 65-69 	20968.176731	11263.669452	9704.507279
 70-74 	18585.522262	9273.615975	9311.906286
 75-79 	15580.137487	7016.769770	8563.367717
 80+ 	20043.796809	7276.619794	12767.177016
Total	310379.254887	168256.390057	142122.864830
1974			
 0-4	94810.557096	52489.592962	42320.964133
 5-9	7765.807311	4638.828889	3126.978422
 10-14 	5299.655860	3308.203417	1991.452442
 15-19 	7611.008521	4299.259252	3311.749269
 20-24 	9623.876809	5411.942779	4211.934030
 25-29 	9529.989654	5166.468758	4363.520896
 30-34 	9751.007299	5303.723357	4447.283942
 35-39 	10503.527722	5887.766578	4615.761144
 40-44 	12100.017919	7253.593839	4846.424080
 45-49 	13722.116952	8372.523059	5349.593892
